SGD SVRG NNAG NNAG+SVRG Epoch Lower1 Upper1 Lower2 Upper2 Lower3 Upper3 Lower4 Upper4
2.2962579286159457 2.2956916672494403 1.914333682627325 2.23537164717684 1 1.941252650229197 2.6512632070026947 1.940728167162627 2.6506551673362537 1.5882333866477263 2.2404339786069234 1.8849909713332536 2.5857523230204262
2.149054515971552 2.1616009058016346 1.5929590772865982 1.836797747130284 2 1.8052362620150744 2.49287276992803 1.8167029781641204 2.506498833439149 1.2939194924606015 1.891998662112595 1.5190605457758692 2.154534948484699
1.9117949315501601 1.9003236973453361 1.4712828308648773 1.5789412726984 3 1.587487196221038 2.2361026668792823 1.5768606501570497 2.2237867445336224 1.18421612468252 1.7583495370472346 1.2844689321609142 1.8734136132358858
1.7423661651589988 1.7108947166930075 1.396676490442527 1.4421189273943376 4 1.4329031788621225 2.051829151455875 1.4040977047941952 2.01769172859182 1.1172084029285476 1.6761445779565065 1.1607390533827426 1.7234988014059325
1.6182715858721064 1.5775970286954089 1.3431408030945626 1.3464541872139173 5 1.3201640884986627 1.91637908324555 1.2831482954777278 1.87204576191309 1.0690745388346032 1.617207067354522 1.0745642823101653 1.6183440921176693
1.5362308445755786 1.488616650446754 1.3012845964649755 1.2707083037175484 6 1.245805063014965 1.826656626136192 1.2026802417078377 1.7745530591856702 1.0314538664247428 1.5711153265052082 1.0065607043355445 1.5348559030995523
1.474321960122384 1.42464892132889 1.2675843058492215 1.204087493380012 7 1.1898155680051576 1.7588283522396104 1.1449595677390934 1.7043382749186866 1.00117731776236 1.5339912939360831 0.9469647658952433 1.461210220864781
1.42452502329941 1.3731121516250586 1.238733516663999 1.1465703570591215 8 1.1448665086777425 1.7041835379210775 1.0985358060572326 1.6476884971928847 0.9752443470151373 1.5022226863128607 0.8956667422307516 1.3974739718874913
1.380227037898415 1.3286842760146427 1.2143094246421018 1.1024827669115016 9 1.1049535802672554 1.6555004955295745 1.058573150051475 1.5987954019778103 0.953316918177644 1.4753019311065596 0.8564394268277922 1.348526106995211
1.34108990093555 1.2852985545687967 1.192418853107773 1.0593878965967756 10 1.0697510545708737 1.6124287473002261 1.0196540069878874 1.550943102149706 0.9336900580703511 1.451147648145195 0.8182112274318695 1.3005645657616818
1.3036106402040137 1.2465246924201543 1.1726763618876561 1.0207103910958373 11 1.0360883241342835 1.571132956273744 0.9849156850307609 1.5081336998095476 0.9159916425034267 1.4293610812718855 0.7839969369137754 1.2574238452778992
1.2701791369472928 1.2109585233890185 1.1552214338918172 0.9837132069537098 12 1.006109205544067 1.5342490683505186 0.953106314863005 1.468810731915032 0.9003374108844463 1.410105456899188 0.75131476768679 1.2161116462206296
1.2393058517590507 1.1782315749074797 1.1389580800519574 0.9624819618090035 13 0.9784638217488911 1.5001478817692102 0.9238962457870399 1.4325669040279194 0.885776495567802 1.3921396645361128 0.7325622027068749 1.192401720911132
1.2105192829237876 1.1477143249662636 1.1239484946555496 0.9220378579500386 14 0.9527261915611527 1.4683123742864226 0.8966964017190484 1.3987322482134787 0.872339546830045 1.3755574424810542 0.6970308390747392 1.1470448768253378
1.1833284375155366 1.1191358162390301 1.1102055951914827 0.8923095726734387 15 0.9284457527215144 1.4382111223095588 0.8712555968499274 1.367016035628133 0.8600619546256958 1.3603492357572695 0.6709584256706982 1.1136607196761792
1.158775841252273 1.0966422797087818 1.0973264051482197 0.8759312449666241 16 0.906552178024328 1.4109995044802182 0.8512648390100596 1.342019720407504 0.8485454244282621 1.3461073858681771 0.6565265943726913 1.0953358955605568
1.1347390521060474 1.0714398645150387 1.0851058120427228 0.8437132485096566 17 0.8851448599828247 1.3843332442292702 0.8289065716777324 1.313973157352345 0.837620961545775 1.3325906625396706 0.6283530725806581 1.059073424438655
1.1127704487851515 1.0483197474075705 1.0735266515208635 0.8311066260156424 18 0.865603803357235 1.359937094213068 0.8084108244375968 1.2882286703775443 0.8272881190698536 1.3197651839718734 0.6174139353791297 1.0447993166521552
1.0922298063097708 1.0279030117118146 1.0633208828585228 0.8002669720812831 19 0.8473559431473924 1.3371036694721494 0.7903489606316088 1.2654570627920205 0.8181773908497165 1.308464374867329 0.5905530936166418 1.0099808505459245
1.0716882434952288 1.0062189045502705 1.0531098060710047 0.7823657096003936 20 0.8291248393262652 1.3142516476641923 0.7711854946004055 1.2412523145001355 0.809051296196138 1.2971683159458713 0.5749856302084952 0.989745788992292
1.053295161516008 0.9907744863568364 1.0431617566100928 0.7541970365397308 21 0.8128219046853604 1.2937684183466556 0.757533431994247 1.2240155407194258 0.8001923113493938 1.2861312018707918 0.5505241886617531 0.9578698844177085
1.0347009735339134 0.9672281084539336 1.0339356609889307 0.7396349627210205 22 0.7963608109935925 1.2730411360742344 0.7367892921415218 1.1976669247663454 0.791947283244764 1.2759240387330975 0.5377463921532948 0.9415235332887462
1.0171016723527322 0.9519025012393436 1.0253838012571375 0.7259492904309878 23 0.7807935974857854 1.253409747219679 0.7232826383737321 1.1805223641049551 0.7843305498062214 1.2664370527080535 0.5262595668368193 0.9256390140251562
1.0003965812609021 0.933971442865289 1.0169343764195813 0.7233350056973871 24 0.7660391067023148 1.2347540558194896 0.7075233393136768 1.1604195464169011 0.7767993475520368 1.2570694052871256 0.5234736280261633 0.9231963833686109
0.9835499538523157 0.9156150580271888 1.0086612011141638 0.6756267023989764 25 0.7511708569310351 1.2159290507735963 0.6914137938454741 1.1398163222089035 0.7694439777073812 1.2478784245209464 0.482922963245781 0.8683304415521718
