SGD SVRG NNAG Epoch
2.2936642441298347 2.3013593668827923 1.8518989558719918 1
2.116303030639658 2.238636795822007 1.4616016538246819 2
1.9290715931626536 1.9579405734301223 1.3293356907642102 3
1.7899983197526859 1.7313992510671201 1.2514968560937116 4
1.6727427230466663 1.6058325110494023 1.1960352379495225 5
1.593748785193314 1.5295686400150095 1.1497072419699501 6
1.52399511883021 1.4650519257006438 1.1115186663387377 7
1.4665885518883806 1.4100845997290843 1.0818587617800974 8
1.4176376248564562 1.3547962253051036 1.049633249754796 9
1.3729025739080765 1.3060964490751477 1.0261793141169926 10
1.3316076023651815 1.2716507579359557 1.0046574179168857 11
1.2957076962341738 1.2138493939128983 0.9839147487869653 12
1.261393786315113 1.1838563160060922 0.9652103337333026 13
1.229141774308651 1.1422275589860005 0.9475818684186472 14
1.2000061093693803 1.1127378575484772 0.9304956184400012 15
1.1692527990664363 1.0906524611708452 0.9169930254711824 16
1.145335036241795 1.0552541874634944 0.903516806986021 17
1.123184290383478 1.0274615842667991 0.8895354604782046 18
1.100414846787977 1.0102272427752805 0.8760340305240563 19
1.0807197188477382 0.9872752255033654 0.8646129993983852 20
1.0599601312976359 0.9859337492672073 0.8532922969907141 21
1.0413104730189 0.9579659648563551 0.843287019625954 22
1.0229371506387315 0.9387233155920073 0.832080940494452 23
1.0039895962723686 0.9210323464992406 0.8217984692138784 24
0.9885823007129952 0.8999211242436753 0.8125159706910858 25
0.9738878374514373 0.8969837467155188 0.8030955193140318 26
0.9575843259196757 0.8846897184848785 0.7927757989034019 27
0.9411987381822923 0.8916626926273337 0.785234108872121 28
0.9247590288176866 0.8377299588507093 0.7770798901081695 29
0.9129345786693456 0.8251155158290473 0.7692514456751401 30
0.8990022155177563 0.8030339395603561 0.7608786774489581 31
0.88428750001561 0.8053616878321713 0.7522624272976994 32
0.8683444187616753 0.7941704968281109 0.746110611368933 33
0.8587200297114185 0.7846316755427729 0.7376792872195963 34
0.8443379274871953 0.7612100600281639 0.7302475160040209 35
0.8300451681665753 0.7609577562345569 0.723231820118092 36
0.8170815394891192 0.7579811880426943 0.7172852004199382 37
